Zestaw danych: 1
1. Czas wykonania dodawania BST: 8,1666, klucz: 3, zawartośś 6
1. Czas wykonania dodawania AVL: 0,6226, klucz: 3, zawartośś 6
2. Czas wykonania dodawania BST: 0,0019, klucz: 4, zawartośś 7
2. Czas wykonania dodawania AVL: 0,2117, klucz: 4, zawartośś 7
3. Czas wykonania dodawania BST: 0,0015, klucz: 5, zawartośś 8
3. Czas wykonania dodawania AVL: 0,0029, klucz: 5, zawartośś 8
4. Czas wykonania dodawania BST: 0,001, klucz: 6, zawartośś 9
4. Czas wykonania dodawania AVL: 0,1485, klucz: 6, zawartośś 9
5. Czas wykonania dodawania BST: 0,0028, klucz: 7, zawartośś 10
5. Czas wykonania dodawania AVL: 0,002, klucz: 7, zawartośś 10
6. Czas wykonania dodawania BST: 0,0009, klucz: 8, zawartośś 11
6. Czas wykonania dodawania AVL: 0,0015, klucz: 8, zawartośś 11
7. Czas wykonania dodawania BST: 0,0017, klucz: 9, zawartośś 12
7. Czas wykonania dodawania AVL: 0,0022, klucz: 9, zawartośś 12
8. Czas wykonania dodawania BST: 0,0022, klucz: 10, zawartośś 13
8. Czas wykonania dodawania AVL: 0,003, klucz: 10, zawartośś 13
9. Czas wykonania dodawania BST: 0,0019, klucz: 11, zawartośś 14
9. Czas wykonania dodawania AVL: 0,0048, klucz: 11, zawartośś 14
10. Czas wykonania dodawania BST: 0,002, klucz: 12, zawartośś 15
10. Czas wykonania dodawania AVL: 0,0035, klucz: 12, zawartośś 15
11. Czas wykonania dodawania BST: 0,002, klucz: 13, zawartośś 16
11. Czas wykonania dodawania AVL: 0,0027, klucz: 13, zawartośś 16
12. Czas wykonania dodawania BST: 0,0021, klucz: 14, zawartośś 17
12. Czas wykonania dodawania AVL: 0,0032, klucz: 14, zawartośś 17
13. Czas wykonania dodawania BST: 0,0017, klucz: 15, zawartośś 18
13. Czas wykonania dodawania AVL: 0,0027, klucz: 15, zawartośś 18
14. Czas wykonania dodawania BST: 0,0017, klucz: 16, zawartośś 19
14. Czas wykonania dodawania AVL: 0,0023, klucz: 16, zawartośś 19
15. Czas wykonania dodawania BST: 0,0023, klucz: 17, zawartośś 20
